taxa,prop_generalist,n_host_families,n_host_species
Laeliopsis,0,1,1
Laeosopis,0.5,2,4
Laetilia,0.5714285714285714,10,29
Lambdina,0.6,26,60
Lamellocossus,1,2,2
Lamida,0.5,7,9
Lamoria,0.4,8,11
Lamoria?,0,1,1
Lampides,1,9,55
Lamprolectica,0,1,1
Lamprolophus,0,2,2
Lampronia,0.25,13,16
Lamprophaia,1,2,3
Lampropteryx,0.5,2,3
Lamprosema,0.4444444444444444,10,15
Lamprosema Asaphialis,0,4,1
Lamprosema Crocodora,0,1,1
Lamprosema Distincta,0,1,1
Lamprosema Insolitalis,0,2,1
Lamprosema Lateritialis,0,2,2
Lamprosema Magnalis,0,1,1
Lamprosema Niphealis,0,2,1
Lamprospilus,1,1,2
Lamprosticta,1,2,2
Lamprotes,0,1,1
Langia,1,1,11
Langsdorfia,0,1,1
Lantanophaga,0.6666666666666666,6,11
Laothoe,0.5,6,17
Lapara,0.5,4,12
Larentia,0.5,3,6
Larerannis,1,10,14
Larinopoda,0,4,3
Laris,0,1,1
Larisa,0,1,1
Lascelina,0,1,1
Lascoria,0.5,5,5
Lasiocampa,1,18,43
Lasiochlora,0,2,2
Lasiognatha,0,1,1
Lasiolopha,0,1,1
Lasiommata,1,3,23
Lasionycta,0.5,13,14
Lasiostega,0,1,1
Lasippa,0.5,2,3
Laspeyresia,0,1,1
Laspeyria,1,2,3
Latebraria,0,1,1
Lathronympha,0.5,3,4
Latoia,0.6666666666666666,38,56
Latoiola,1,4,5
Latoria,0,1,1
Lebeda,0.5,15,15
Lechriolepis,0.8571428571428571,21,32
Ledaea,1,2,2
Leguminivora,0.75,6,16
Leioptilus,0,1,1
Leipoxais,0.6666666666666666,24,26
Lelecella,0,1,1
Lemaireia,1,2,2
Lemonia,1,1,2
Lemonia Dumi,0,2,1
Lemonias,0,1,1
Lenodora,1,2,4
Leocyma,0.6666666666666666,3,6
Leocyma Appollinis,0,3,1
Leocyma Camilla,0,3,1
Leocyma Discophora,0,1,1
Leona,0,1,1
Lepella,0,1,1
Lepidochrysops,0.7272727272727273,55,89
Lepidodelta,0,1,1
Lepidogma,0,4,4
Lepidomys,0,1,1
Lepidoplaga,0,1,1
Lepidopsyche,0,1,1
Lepidoscia,1,2,2
Lepipolys,1,2,2
Leptidea,0.5,3,6
Leptoclanis,1,2,2
Leptomiza,0,1,1
Leptomyrina,1,6,13
Leptophobia,1,2,2
Leptosia,0.42857142857142855,9,22
Leptostales,0,4,4
Leptotes,0.7272727272727273,38,76
Leptozestis,0,2,2
Leptozygaena,1,2,2
Lerema,0.5,2,11
Lerema Accius,0,12,1
Lerema Ancillaris,0,1,1
Lerodea,1,3,16
Lesmone,1,2,2
Lethe,0.5,18,54
Letis,0.3333333333333333,4,4
Leto,0,1,1
Leucanella,0.6,35,49
Leucania,0.6538461538461539,64,150
Leucanthiza,0,4,4
Leucantigius,1,1,2
Leucinodes,0.5,8,16
Leucobrephos,1,2,3
Leucochlaena,0,2,2
Leuconycta,0.5,2,3
Leucophlebia,0.5,2,5
Leucophobetron,1,7,7
Leucoplema,0,3,3
Leucoptera,0.3409090909090909,52,96
Leucospilapteryx,0.6666666666666666,3,7
Leucostrophus,0,1,1
Leucula,0,1,1
Leuroperna,1,1,3
Levuana,1,2,8
Lexias,1,3,4
Lhommeia,0,1,1
Lhommeia Subapicata,0,1,1
Libystica,0,1,1
Libythea,0.8,7,12
Libytheana,0.6666666666666666,5,12
Lienigia,0,1,1
Ligdia,0,2,2
Likoma,1,1,2
Limacosilla,0,1,1
Limbobotys,0.5,2,3
Limenitis,0.6,22,43
Limnaecia,0.2,11,13
Lindera,0,1,1
Lineodes,0.16666666666666666,6,22
Liocrobyla,0.25,4,8
Lioprosopa,0,1,1
Lioptilodes,1,1,4
Liothula,1,4,4
Liphyra,0.5,2,3
Lipocosma,0,2,2
Liptena,0.2,6,6
Lissomma,0,1,1
Lista,0,4,4
Lithacodes,0.5,12,13
Lithacodia,0,3,3
Lithariapteryx,1,4,15
Litholomia,1,4,6
Lithomoia,1,7,16
Lithophane,0.7333333333333333,142,237
Lithostege,0,1,1
Litobrenthia,1,1,3
Litocala,0,1,1
Litoprosopus,0.5,3,3
Lobesia,0.5384615384615384,96,121
Lobobunaea,1,23,27
Lobobunaea Acetes,0,2,2
Lobobunaea Angasana,0,8,6
Lobobunaea Christyi,0,2,2
Lobobunaea Jamesoni,0,2,2
Lobobunaea Natalensis,0,2,2
Lobobunaea Phaedusa,0,7,4
Lobobunaea Saturnus,0,6,5
Lobocla,0,1,1
Lobocleta,0,2,2
Lobogethes,0,1,1
Lobophora,0.6,8,12
Loboschiza,0.3333333333333333,5,6
Lobus,1,1,2
Locastra,0,1,1
Loepa,0.75,10,13
Logania,0.6666666666666666,3,7
Lomanaltes,1,2,2
Lomaspilis,0.5,2,3
Lomera,0,1,1
Lomographa,0.5454545454545454,22,43
Lonomia,0.5,11,13
Lopharcha,0.25,5,5
Lophocalama,0,1,1
Lophoceramica,0,1,1
Lophocrama,1,2,4
Lophomilia,0.3333333333333333,3,4
Lophophleps,0,1,1
Lophoplusia,0,1,1
Lophoptera,0.5,11,16
Lophoruza,1,2,2
Lophosigna,0,1,1
Lophostethus,1,12,15
Lophostola,0,2,2
Lophotavia,0,1,1
Lophoterges,0,1,1
Lophothalaina,0,1,1
Lophothripa,1,4,5
Lopinga,1,2,7
Lorita,0.6666666666666666,6,6
Lotongus,1,1,2
Loxiorhiza,0,1,1
Loxofidonia,1,2,2
Loxomorpha,0.5,4,4
Loxostege,0.5,29,47
Loxoterma,0,1,1
Loxura,0.5,3,4
Lozotaenia,1,12,16
Lozotaeniodes,0.5,2,3
Lucia,0,1,1
Lucinia,0,1,1
Ludia,0.2857142857142857,11,27
Luffia,1,2,3
Lumacra,0.25,5,5
Luperina,0.6,5,15
Luthrodes,0,1,1
Luxiaria,0,2,2
Lycaeides,0.8,11,46
Lycaena,0.32142857142857145,33,50
Lycaenesthes,0.3333333333333333,3,4
Lycaenopsis,0,1,1
Lycas,0,2,2
Lycaugesia,0,1,1
Lycia,0.875,44,74
Lycophotia,0.6666666666666666,12,18
Lycorea,0.6666666666666666,9,17
Lygephila,0.5,10,16
Lygropia,1,10,17
Lyncestis,1,2,4
Lyonetia,0.6,33,80
Lysandra,0,8,7
Lyssa,0.6666666666666666,4,6
Lythria,0,2,2
Lytrosis,1,3,3
Mabra,0,3,3
Macalla,0,4,4
Macarangela,0,1,1
Macaria,1,4,7
Macarostola,0.375,8,12
Macdunnoughia,1,5,7
Maceda,0,1,1
Macellopis,0,1,1
Machlotica,0,1,1
Macrauzata,0.5,2,7
Macrenches,0,1,1
Macrochilo,0.6666666666666666,7,8
Macrocilix,1,2,7
Macrocorystis,0,1,1
Macrocossus,0,1,1
Macrocyttara,1,2,2
Macroglossum,0.7692307692307693,20,36
Macromphalia,1,7,7
Macronoctua,0.5,4,5
Macroplectra,0.5,9,13
Macropoliana,1,6,8
Macrosoma,0,6,6
Macrotheca,1,2,2
Macrothylacia,1,9,19
Maculinea,0.6666666666666666,10,14
Madoryx,0,3,3
Magusa,1,3,8
Mahasena,0.5555555555555556,36,58
Mahasena?,1,3,3
Mahathala,1,2,2
Makivora,0,1,1
Malacodea,1,1,2
Malacosoma,0.8333333333333334,86,305
Maliarpha,1,1,4
Maliattha,0.6666666666666666,4,5
Mallocampa,0.5,2,3
Mambara,0,1,1
Mambarilla,0.3333333333333333,4,4
Mamestra,1,40,74
Mammifrontia,0,1,1
Mampava,1,4,6
Manataria,0,1,1
Manatha,1,9,12
Manduca,0.7857142857142857,38,135
Manga,1,2,2
Maniola,1,1,10
Manoneura,0,1,1
Mantua,0,1,1
Mapsidius,0,5,5
Maracayia,0,1,1
Marasmarcha,0,6,6
Marasmia,0.5,4,13
Marathyssa,1,4,7
Marca,0,1,1
Marcillada,0,1,1
Marcipa,0.25,4,5
Margaronia,0,1,1
Marmara,0.6111111111111112,22,33
Marpesia,0.5,7,14
Maruca,0.8,19,64
Marumba,0.8,18,35
Massepha,1,1,4
Matapa,1,3,13
Mathoris,0.3333333333333333,3,4
Matopo,0,1,1
Matsumuraeses,0.5555555555555556,11,28
Mauna,0,1,1
Maurilia,1,9,18
Maurus,0,1,1
Maxates,0.5,2,3
Maxera,0,1,1
Mazdacis,0,1,1
Mazdacis Sp.,0,1,1
Mazuca,1,1,3
Mechanitis,0.75,5,43
Mecistoptera,0,1,1
Mecodina,0.4,7,7
Mecodinops,0,1,1
Mecyna,1,3,3
Mecytha,1,1,6
Medasina,0.5,3,6
Megabiston,1,6,10
Megacraspedus,0.6666666666666666,4,5
Megaherpystis,0,1,1
Megalocypha,0,2,2
Megalodes,0,1,1
Megalographa,1,16,23
Megalopalpus,1,1,3
Megalophanes,0,1,1
Megalorhipida,1,9,13
Megalota,0,1,1
Meganephria,0,1,1
Meganola,0.375,20,29
Meganola?,0,1,1
Meganoton,0.5,3,3
Megasis,0,1,1
Megasoma,0,1,1
Megastes,0,3,3
Megathymus,1,5,39
Megisba,0.5,6,11
Megisto,1,3,7
Mehteria,1,2,2
Melanargia,0.8333333333333334,6,35
Melanchra,1,89,153
Melanchroia,0.5,4,8
Melanephia,0.5,3,5
Melanis,0.3333333333333333,5,5
Melanis Iarbas,0,3,3
Melanis Pixe,0,1,1
Melanis Pronostriga,0,1,1
Melanitis,0.75,6,53
Melanocera,0.6666666666666666,5,6
Melanocercops,1,2,8
Melanocinclis,0.5,2,3
Melanocyma,0,1,1
Melanodes,0,1,1
Melanographia,0,1,1
Melanolophia,1,28,48
Melanolycaena,0,2,2
Melanomma,0,1,1
Melanoptilon,0,1,1
Melanthia,0,1,1
Melasina,0,1,1
Meleageria,0,5,5
Melete,1,2,2
Melinaea,0,3,3
Melinoessa,0,1,1
Melionica,0,1,1
Melipotis,0.45454545454545453,14,24
Melissopus,0.5,4,8
Melitaea,0.8333333333333334,14,30
Melitara,1,4,8
Mellana,0,1,1
Mellea,0.3333333333333333,3,5
Mellicta,0.8333333333333334,14,37
Mellilla,1,2,2
Memphis,0.25,15,23
Mendesia,0,3,3
Menevia,1,4,4
Menophra,0.5,12,15
Mentaxya,0.6666666666666666,7,7
Meridemis,0.6666666666666666,11,11
Merimnetria,0.4166666666666667,12,18
Meris,0,1,1
Meritastis,0,2,2
Meroctena,1,2,2
Merolonche,0.6666666666666666,6,6
Merophyas,0.25,16,23
Meropleon,1,2,8
Meroptera,0.5,8,12
Merrifieldia,0,3,3
Merulempista,1,1,2
Mervia,0,1,1
Mesapamea,0.8,10,26
Mescinia,0,3,3
Mesepiola,1,2,2
Meskea,0,1,1
Mesoacidalia,1,2,13
Mesocelis,1,4,4
Mesogona,0.75,6,9
Mesoleuca,0.3333333333333333,3,4
Mesoligia,1,2,7
Mesophleps,0.75,15,37
Mesorhynchaglaea,0,1,1
Mesothea,1,7,11
Mesoxantha,0,1,1
Mestolobes,0.5,2,3
Mestolobes Chrysomolybdoides,0,1,1
Mestolobes Pyropa,0,2,1
Mestra,0.25,4,6
Metachrostis,0,3,3
Metagarista,0,1,1
Metalectra,0.3333333333333333,7,6
Metalepsis,0,1,1
Metallochlora,0,2,2
Metallosticha,1,1,3
Metallostichodes,0,1,1
Metamesia,0,1,1
Metamimas,0,1,1
Metamorpha,0,1,1
Metanastria,0.5,27,49
Metanastria?,0,1,1
Metanema,1,9,15
Metapioplasta,1,3,3
Metaraphia,0,1,1
Metarranthis,0.8,23,34
Metaxaglaea,0.6666666666666666,4,5
Metaxypsyche,1,3,3
Metendothenia,0.3333333333333333,6,7
Meteoristis,1,1,2
Metephestia,1,1,3
Metharmostis,0,1,1
Methona,0.5,5,8
Metisa,0.625,21,25
Metisa?,0.5,6,6
Metisella,0.16666666666666666,6,10
Metoeca,0,1,1
Metopiora,0,1,1
Metopta,1,2,2
Metrea,0,1,1
Metria,0,2,2
Metriochroa,0.2,5,6
Metrioglypha,0,1,1
Metriostola,0,2,2
Metriotes,1,4,6
Metura,1,3,3
Metzneria,0.38461538461538464,13,23
Meyriccia,1,2,2
Meyrickella,0,1,1
Micandra,0,1,1
Michaelus,0.4,7,11
Micragone,0.4,6,9
Micragrotis,0,1,1
Micragrotis?,0,1,1
Micraphe,1,3,5
Microbelia,1,3,5
Microblepsis,1,3,4
Microcalicha,0.6666666666666666,4,7
Microcalyptris,0.5,2,3
Microceris,0,1,1
Microchlora,0,1,1
Microctenucha,1,1,2
Microhelia,1,1,2
Microleon,1,2,4
Microphestia,0,1,1
Microphestia?,0,1,1
Microplitica,0,1,1
Microsarotis,1,2,7
Microstega,0.5,4,5
Microthauma,1,1,2
Microthosea,0,3,3
Microthosea?,0,1,1
Microthyris,0.5,3,4
Micrurapteryx,0.8,5,12
Mictopsichia,0,1,1
Migoplastis,0,1,1
Migoplastis Alba,0,1,1
Milanion,1,2,5
Miletus,0.6666666666666666,6,15
Milgithea,0,1,1
Milionia,1,2,10
Mimacraea,0,7,5
Mimaglossa,0,1,1
Mimallo,1,4,7
Mimas,0.5,7,13
Mimasura,0,1,1
Mimerastria,1,1,4
Mimeresia,0,2,2
Mimeusemia,0,2,2
Mimoniades,0,1,1
Mimopacha,1,5,5
Mimorista,0,1,1
Mimoschinia,1,1,3
Mimoscopa,0,1,1
Mimudea,0,1,1
Miniodes,0,1,1
Ministrymon,0.16666666666666666,6,7
Minoa,0,1,1
Minois,1,2,11
Minucia,0,2,2
Minutargyrotoza,0,1,1
Miodera,0,1,1
Miresa,0.5,35,48
Miresa?,0,1,1
Miresina,1,1,3
Mirificarma,0.7272727272727273,11,42
Mitoura,0.7777777777777778,13,34
Mixochlora,1,2,6
Mnasilus,0,1,1
Mnemoses,0,1,1
Mnesampela,0,1,1
Mnesixena,0,1,1
Mniothripa,0,1,1
Mniotype,1,12,21
Moca,0,4,4
Mocis,0.7333333333333333,39,110
Moduza,0.5,2,16
Moduza Mata,0,1,1
Moduza Procris,0,18,1
Moerarchis,0,2,2
Moeros,1,1,2
Molippa,0.75,9,9
Moltena,0,1,1
Molybdocrates,0,1,1
Moma,1,4,9
Mometa,0.8,6,13
Mompha,0.23076923076923078,40,53
Mompha?,0,1,1
Monca,0,1,1
Monda,0,2,2
Monema,1,4,8
Monobolodes,0,1,1
Monochroa,0.19230769230769232,31,33
Monoctenia,0,1,1
Monoctenocera,0.5,3,5
Monoleuca,1,4,4
Monopis,0.07142857142857142,17,15
Monza,0,1,1
Moodna,0.5,8,10
Moriloma,0,1,1
Morophaga,0,2,2
Morophagoides,0.5,3,3
Morova,1,2,2
Morpheis,1,8,11
Morpheis Pyracmon,0,6,4
Morpheis Strigillata,0,2,2
Morpheis Xylotribus,0,3,2
Morpho,0.8125,40,65
Morrisonia,0.75,29,57
Morvina,0,1,1
Motya,0,1,1
Mouralia,1,1,3
Mudaria,0.25,9,11
Munroessa,0.5,3,3
Munychryia,0,2,2
Murgisca,1,1,2
Muschampia,0.3333333333333333,3,4
Musotima,0.25,5,5
Mussidia,0.6,20,28
Mustilia,0,2,2
Mycalesis,0.4090909090909091,22,62
Myconita,1,2,4
Myelobia,0.6666666666666666,4,8
Myelois,0.3333333333333333,3,6
Myelopsis,0,2,2
Mylantria,1,4,4
Mylantria Xanthospila,0,4,4
Mylothris,0.47058823529411764,26,31
Mynes,1,1,3
Myrina,0.8333333333333334,6,15
Myrioblephara,0,1,1
Myriotis,0,1,1
Myrlaea,0,1,1
Myrteta,1,2,2
Myscelia,0.5,2,3
Myscelia Cyaniris,0,2,1
Myscelia Orsis,0,1,1
Myscelus,0.5,3,4
Myscelus Amystis,0,3,2
Myscelus Pardalina,0,2,1
Mysoria,1,1,3
Mythimna,0.5238095238095238,32,61
Naarda,0,3,3
Nacaduba,0.46153846153846156,28,28
Nacoleia,1,10,13
Nacophora,0.5,5,6
Nadiasa,0.5,6,8
Naenia,0.5,13,21
Naevipenna,0.5,7,7
Nagadeba,0,2,2
Nagia,0.25,5,5
Nagiella,0,1,1
Nagoda,0.5,3,3
Nanaguna,0.3333333333333333,9,11
Napaea,1,1,4
Napeogenes,0,2,2
Napta,0,1,1
Naranga,0.6666666666666666,4,10
Narangodes,0,1,1
Narathura,1,2,18
Narcosius,1,2,2
Narope,0,1,1
Narosa,0.3,16,16
Narosoideus,1,3,6
Narraga,0.5,2,5
Narycia,0.16666666666666666,6,7
Nascia,1,2,3
Nascia Cilialis,0,4,2
Nascus,0.3333333333333333,4,5
Nastra,1,3,7
Natada,0.3333333333333333,4,6
Nataxa,0,1,1
Nathalis,1,8,19
Nausinoe,1,3,8
Naxa,0,1,1
Nealgedonia,0,1,1
Nealyda,0,4,4
Nearcha,0,1,1
Neargyractis,1,3,3
Nedra,0.25,4,7
Neelysia,0,3,3
Negera,0,1,1
Negeta,0.5,4,5
Negritothripa,1,1,2
Neita,0.5,2,3
Neleucania,1,1,5
Nemapogon,0.25,21,19
Nematobola,0,1,1
Nematocampa,1,22,41
Nemaxera,1,2,3
Nemophora,0.5,13,20
Nemoria,0.6111111111111112,41,62
Nenomoshia,0,1,1
Neoalcis,1,3,8
Neocalyptis,0.5,3,3
Neocarnegia,1,2,3
Neochera,0,1,1
Neocleptria,1,3,5
Neococytius,0,1,1
Neocoenyra,0,1,1
Neocoristis,0,1,1
Neocrania,0,1,1
Neodactria,0.6666666666666666,5,6
Neodiphthera,0,1,1
Neodora,1,2,2
Neofaculta,1,3,7
Neofriseria,0,2,2
Neogalea,1,6,8
Neogavara,1,2,2
Neogurelca,1,1,2
Neohipparchus,1,2,6
Neoleucinodes,0.5,2,10
Neolithocolletis,0.3333333333333333,3,4
Neolucia,0,4,3
Neolysandra,0,3,3
Neominois,0,1,1
Neomocena,1,8,8
Neomyrina,0,1,1
Neonympha,1,3,5
Neope,0.5,6,12
Neophasia,0.25,4,14
Neopithecops,0.5,3,6
Neoploca,1,1,4
Neopolyptychus,0.6666666666666666,5,5
Neopotamia,0,1,1
Neorina,0,2,2
Neoris,1,1,2
Neosphaleroptera,1,3,7
Neostege,0,1,1
Neostichtis,0,1,1
Neotelphusa,0.5,2,3
Neoterpes,0.25,4,5
Neotuerta,1,1,2
Neoxeniades,0,3,3
Neozephyrus,0.1,15,17
Nephantis,1,1,5
Nephantis Serinopa,0,6,1
Nephele,0.46153846153846156,17,28
Nephelodes,1,9,14
Nepheloleuca,1,1,4
Nepheronia,0.75,8,12
Nephodia,1,2,2
Nephopterix,0.3333333333333333,36,39
Nephopterix?,0,1,1
Neptidopsis,0.3333333333333333,3,4
Neptidopsis Fulgurata,0,3,1
Neptidopsis Ophione,0,2,1
Neptidopsis Platyptera,0,1,1
Neptis,0.4791666666666667,104,182
Nepytia,1,9,35
Netrobalane,1,3,4
Neumichtis,1,4,4
Neumoegenia,0,1,1
Neuranethes,0,1,1
Neurobathra,0.25,4,12
Neurolipa,0,1,1
Neurostrota,0.6666666666666666,3,5
Neurothaumasia,1,2,2
Neurypexina,0,1,1
Neustrotia,0,1,1
Nica,1,1,3
Niceteria,1,1,2
Niconiades,0,1,1
Niditinea,0,3,2
Niepeltia,0,1,1
Nigramma?,0,1,1
Nikara,0,1,1
Nilasera,1,2,2
Ninodes,0,1,1
Niphadolepis,0.5,7,8
Niphanda,1,2,2
Niphopyralis,0,1,1
Nippoptilia,0.5,2,5
Nisaga,1,1,3
Nisoniades,0.6666666666666666,4,5
Noctua,0.8571428571428571,45,57
Noctuelia,0,1,1
Noctuelita,0,1,1
Noctuides,0,1,1
Nodaria,0.6666666666666666,5,6
Nola,0.4888888888888889,86,117
Nola?,0,2,2
Nomophila,1,13,23
Nonagria,1,2,3
Noorda,0,2,2
Nordstromia,1,7,14
Noreia,0,1,1
Nosophora,0,1,1
Notarcha,1,5,10
Nothodanis,0,1,1
Nothomiza,0.5,2,3
Nothris,1,2,4
Notioplusia,1,2,2
Notocelia,0.4,5,10
Notocrypta,1,6,18
Nr.,0,1,1
Nudaurelia,0.6666666666666666,41,57
Numonia,1,2,2
Nyceryx,0,1,1
Nychiodes,0,1,1
Nyctegretis,1,3,5
Nyctegretis Lineana,0,5,3
Nyctelius,1,1,7
Nycteola,0.4666666666666667,18,40
Nyctus,0,1,1
Nymphalis,0.8571428571428571,34,87
Nymphula,0.14285714285714285,8,8
Nyodes,0.6666666666666666,6,6
Nyssiodes,1,4,16
Nyssiodes Lefuarius,0,16,4
Oarisma,1,4,8
Oboronia,0.6666666666666666,5,5
Obrussa,0,1,1
Obtusipalpis,0.5,3,3
Ocaria,0,2,2
Ochetarcha,0,1,1
Ochlodes,0.3333333333333333,6,18
Ochrognesia,0,1,1
Ochromolopis,0,3,3
Ochropacha,1,3,7
Ochropleura,0.4444444444444444,30,35
Ochsenheimeria,1,7,15
Ochyrotica,0.2857142857142857,10,13
Ocinara,0.5,5,6
Ocinaropsis,1,1,2
Ocnerostoma,0.6666666666666666,3,10
Ocrasa,1,2,3
Ocrisia,0,1,1
Ocybadistes,0,1,1
Odezia,1,1,4
Odonestis,0.75,7,8
Odontestra,0.5,3,3
Odontivalvia,0,1,1
Odontocheilopteryx,0.5,4,7
Odontodes,0,1,1
Odontogama,0,1,1
Odontopacha,0,1,1
Odontopera,0.75,19,37
Odontoptilum,1,3,5
Oecocecis,0,1,1
Oedebasis,0,1,1
Oedicentra,1,3,3
Oegoconia,0,3,3
Oeneis,0.3333333333333333,18,25
Oenobotys,0,1,1
Oenochroma,0.5,2,3
Oenogenes,0,1,1
Oenomaus,1,1,3
Oenosandra,0,1,1
Oenospila,1,5,7
Oerane,0,1,1
Ofatulena,0,1,1
Ogdoconta,1,3,7
Oglasa,0.5,6,9
Ogmograptis,0,1,1
Ogovia,1,2,2
Ogyris,0,12,12
Oidaematophorus,0.5714285714285714,31,63
Oiketicoides,1,2,2
Oiketicoides?,0,1,1
Oiketicus,0.8125,126,187
Oileides,0,1,1
Oinophila,0,1,1
Oiticella,0,1,1
Olceclostera,1,3,8
Oleria,0.4,5,7
Olethreutes,0.4523809523809524,151,204
Oligia,0.5833333333333334,18,27
Oligochroa,0,1,1
Oligographa,0,1,1
Oligoneurina,0,1,1
Olindia,1,5,6
Olona,1,2,6
Olycella,0.5,2,3
Olynthus,0,4,4
Omia,0,1,1
Omiodes,0.4375,67,149
Omizodes,0,1,1
Ommatostola,0,1,1
Omocena,1,7,8
Omphacodes,0,1,1
Omphalocera,1,3,4
Omphalophana,0.5,3,3
Omphaloscelis,0,2,1
Omphalucha,0.5,2,3
Omphalucha?,0,1,1
Omphax,0,1,1
Omphisa,1,5,12
Onceroptila,1,1,2
Onceropyga,0,1,1
Oncocera,1,3,8
Oncocnemis,0.09090909090909091,12,12
Oncopera,0.3,12,15
Oneida,0,2,2
Onophas,0,1,1
Onryza,1,1,2
Onychagrotis,0,1,1
Onycodes,0,1,1
Operophtera,0.8571428571428571,34,76
Ophiorrhabda,0.6,11,20
Ophisma,0.5,4,6
Ophiusa,0.4166666666666667,38,63
Ophthalmis,0,1,1
Ophthalmitis,1,4,9
Opigena,1,5,5
Opisthograptis,1,4,9
Opodiphthera,0.75,22,42
Opogona,0.5,111,133
Opostegoides,0.5,2,4
Opostegoides Minodensis,0,1,1
Opostegoides Scioterma,0,4,1
Opsibotys,1,1,2
Opsigalea,0,1,1
Opsiphanes,0.6666666666666666,17,31
Opsirhina,0,2,2
Opula,0,1,1
Orachrysops,0,3,3
Oraesia,0.6666666666666666,19,30
Oraesia Emarginata,0,17,9
Oraesia Excavata,0,7,5
Oraesia Provocans,0,6,2
Oraesia Rectistria,0,1,1
Oraesia Subucula,0,1,1
Oraesia Triobliqua,0,3,1
Oraidium,1,1,2
Orbamia,0,1,1
Orbona,0,1,1
Oreana,1,7,9
Orecta,1,1,2
Oreixenica,0.4,5,7
Orenaia,0,1,1
Oreonoma,0,1,1
Oreopsyche,0,1,1
Oressinoma,0,1,1
Oreta,0.6666666666666666,4,7
Organopoda,1,2,2
Oria,1,1,4
Oriens,0.6666666666666666,3,7
Ormiscodes,0.75,9,10
Orna,0,1,1
Ornativalva,0.35714285714285715,15,25
Ornipholidotos,0,4,3
Ornithospila,0,1,1
Orocrambus,0,2,2
Orophora,0,2,2
Oroplema,0,1,1
Oroscopa,0,1,1
Orothalassodes,0,1,1
Orphe,0,1,1
Orrhodiella,1,2,2
Orses,0,2,2
Orsotriaena,1,1,2
Orthaga,0.4,21,27
Orthenches,0.6666666666666666,5,5
Orthia,1,2,3
Orthoclydon,0,1,1
Orthodes,0.5,13,18
Orthofidonia,0,1,1
Orthogonioptilum,0,1,1
Ortholepis,0.6666666666666666,5,5
Orthonama,0.6666666666666666,13,20
Orthosia,0.7428571428571429,148,275
Orthospila,0.6666666666666666,4,6
Orthotaenia,1,13,22
Orthotelia,1,3,3
Ortilia,1,6,13
Orudiza,0,1,1
Oruza,1,5,5
Oryctometopia,0,1,1
Orygmophora,0,1,1
Osmodes,0,1,1
Osmodes Adosus,0,2,1
Osteosema,0,1,1
Ostrinia,0.5714285714285714,51,94
Othorene,1,7,8
Othreis,1,1,2
Otoplecta,0,1,1
Oulobophora,0,1,1
Ourapteryx,0.8333333333333334,21,29
Ovendenia,1,2,3
Ovios,0,1,1
Oxicesta,0,2,2
Oxycanus,0,1,1
Oxychaeta,0,1,1
Oxycnemis,0,1,1
Oxydia,0.25,14,19
Oxylychna,0,1,1
Oxyodes,1,2,5
Oxyptilus,0.5,14,20
Oxytrypia,0,1,1
Ozamia,0.3333333333333333,7,8
Ozarba,0.1,11,11
Ozola,0.25,4,5
Ozopteryx,1,2,2
Pabulatrix,0,1,1
Paches,0,1,1
Pachetra,1,3,4
Pachyagrotis,0,1,1
Pachycnemia,0,1,1
Pachyerannis,1,2,4
Pachylia,1,2,10
Pachyligia,1,5,9
Pachylioides,1,2,2
Pachylioides Resumens,0,3,2
Pachymeta,0,1,1
Pachymetana,1,3,5
Pachyneuria,0,1,1
Pachypasa,0.6875,52,62
Pachysphinx,1,5,18
Pachythelia,1,4,5
Packardia,1,7,8
Paectes,0.2727272727272727,14,15
Pagodiella,0.5,14,18
Pagyda,0.6666666666666666,4,7
Palaeochrysophanus,1,1,2
Palaeonympha,1,1,3
Palaeotoma,0,1,1
Paleacrita,0.5,14,37
Palepicorsia,1,1,2
Paliga,0.75,9,17
Palla,1,6,9
Palmia,0,1,1
Palpidia,0,1,1
Palpifer,0.6666666666666666,4,6
Palpita,0.6666666666666666,18,32
Palthis,1,16,39
Palumbina,1,2,6
Pamea,0,1,1
Pammene,0.34,57,79
Pammenemima,0,1,1
Pamphlebia,0,1,1
Pamphlebia Rubrolimbraria,0,2,1
Panacela,0.5,7,14
Panacra,0,1,1
Panalipa,0,1,1
Panaphelix,0,1,1
Panaphelix Asteliana,0,1,1
Pancalia,0.5,2,3
Panchala,1,1,5
Panchrysia,1,1,2
Pandemis,0.9166666666666666,125,207
Pandesma,1,6,10
Pandita,1,2,3
Pandoriana,1,2,4
Panemeria,1,1,2
Pangrapta,0.16666666666666666,6,9
Panilla,0,1,1
Panolis,1,4,12
Panopoda,0.6666666666666666,9,12
Panoquina,0.625,9,27
Panotima,0,2,2
Pantherodes,1,1,2
Panthiades,0.3333333333333333,12,5
Pantoctenia,0,1,1
Pantographa,1,3,3
Pantophaea,0,1,1
Pantoporia,0.5,5,8
Pantydia,0.3333333333333333,4,5
Paonias,1,22,63
Papaipema,0.6363636363636364,112,217
Papestra,0.6,19,32
Papias,0,1,1
Papias Subcostulata,0,1,1
Papilio,0.6810344827586207,219,955
Parabagrotis,0.3333333333333333,5,5
Parabapta,0.5,2,4
Paracarystus,0,2,2
Paracentropus,0,1,1
Parachalciope,0,1,1
Parachoranthus,0,1,1
Parachronistis,1,3,5
Paraclemensia,0.5,7,9
Paracolax,0.5,5,6
Paracrama,1,2,2
Paracroesia,0,1,1
