taxa,prop_generalist,n_host_families,n_host_species
Aleimma,1,4,5
Alenia,1,1,2
Aletia,0.17391304347826086,28,29
Aletis,1,2,2
Aleucis,0,1,1
Algedonia,0,1,1
Algedonia Terrealis,0,1,1
Allagrapha,1,4,4
Alloclita,0,1,1
Allocryptobia,0,1,1
Allophyes,0.5,3,12
Allosmaitia,0.3333333333333333,3,4
Allotalanta,1,1,2
Allothosea,0.5,4,5
Allothosea Lola,0,5,3
Allothosea Plumbea,0,1,1
Allotinus,0.42857142857142855,9,16
Allotria,1,3,4
Aloeides,0.75,22,21
Alophia,1,2,5
Alophogaster,0,1,1
Alpheias,0,1,1
Alsophila,1,21,62
Altenia,0,1,1
Altha,1,24,27
Alucita,0.5384615384615384,21,28
Alvaradoia,0,1,1
Alypia,0.5,9,16
Amalafrida,0,1,1
Amata,0.4375,33,39
Amata Acrospila,0,1,1
Amata Aperta,0,3,2
Amata Cyssea,0,12,8
Amata Elongata,0,2,2
Amata Fortunei,0,2,2
Amata Hissarica,0,2,1
Amata Huebneri,0,1,1
Amata Passalis,0,17,8
Amata Perixanthia,0,1,1
Amata Phegea,0,1,1
Amata Polymita,0,2,1
Amata Sp.,0,1,1
Amata Superbus,0,1,1
Amata Tomasina,0,2,1
Amathusia,0.5,6,14
Amathusia Gunneryi,0,1,1
Amathusia Phidippus,0,13,2
Amatissa,0.8333333333333334,16,18
Amauris,0.7777777777777778,11,50
Ambesa,1,1,4
Ambia,0.5,2,3
Amblopala,1,2,2
Amblychia,1,3,3
Amblypalpis,0.3333333333333333,3,4
Amblypodia,0.25,4,6
Amblyprora,0.6666666666666666,3,7
Amblyptila,0.5,2,3
Amblyptilia,0.8,21,27
Amblyscirtes,0.4,10,22
Ambonostola,0,1,1
Ambulyx,0.625,14,21
Amelora,1,4,5
Amephana,0,1,1
Ametris,0,1,1
Amicta,0,1,1
Ammoconia,0.5,8,9
Ammopolia,0,1,1
Amnosia,0,1,1
Amolita,0,3,3
Amorbia,0.5,49,74
Amorophaga,0,1,1
Amorophaga Cryptophori,0,1,1
Amorpha,1,5,18
Amorphogynia,0,1,1
Ampelophaga,0,2,1
Amphion,1,7,13
Amphipoea,0.6,19,27
Amphipyra,0.8,61,111
Amphithera,0,1,1
Amphithrix,0,1,1
Amphixystis,1,2,3
Ampittia,1,1,2
Amplypterus,1,3,3
Amyelois,1,19,29
Amyna,1,18,39
Anabasis,1,1,7
Anacampsis,0.3333333333333333,38,58
Anacamptodes,0.45454545454545453,35,50
Anadevidia,1,2,8
Anadiasa,0.4,8,9
Anaea,0.4,5,13
Anagoga,1,5,8
Anagrapha,1,12,15
Analyta,0.5,3,3
Anania,1,3,5
Anaphaeis,1,6,25
Anaplectoides,1,15,18
Anarpia,0,1,1
Anarsia,0.35714285714285715,65,95
Anarta,1,6,11
Anartia,0.6,12,35
Anartomima,0,1,1
Anartula,1,1,6
Anasphaltis,0,1,1
Anastathma,0,1,1
Anastrus,0.5,3,5
Anathamna,0,1,1
Anathix,0,3,3
Anatrachyntis,0,1,1
Anavitrinella,0.5,18,20
Anaxidia,1,3,3
Ancema,0.5,2,3
Ancistroides,0.5,2,4
Ancova,0,1,1
Ancylis,0.5686274509803921,88,143
Ancylolomia,0.42857142857142855,7,12
Ancylosis,0.2857142857142857,8,9
Ancylosis?,0,1,1
