pair_id,dataset,taxa_left,taxa_right,dN_left,dN_right,dS_left,dS_right,level_left,level_right,n_species_left,n_species_right,n_host_record_left,n_host_record_right,prop_generalist_left,prop_generalist_right,n_host_families_left,n_host_families_right,n_host_species_left,n_host_species_right,taxa_size_left,taxa_size_right,label,sign,weight,dN_contrast,dS_contrast,n_host_species_contrast,n_species_contrast,n_host_families_contrast,prop_generalist_contrast
23,family,Epicopeiidae,Sematuridae,-3.681268491112601,-3.3087184788698916,-0.37277819380588006,-0.2759524673604387,family,family,3.332204510175204,3.6635616461296463,0,0,NA,NA,NA,NA,NA,NA,28,39,Epicopeiidae - Sematuridae,-1,0,0.37255001224270945,0.09682572644544135,NA,0.3313571359544425,NA,NA
24,family,Geometridae,Uraniidae,-3.1026718129917352,-3.2128564775434505,-2.2702576839966882e-4,-0.09902120715635117,family,family,10.124468767685654,6.476972362889683,1337,25,0.8300505809414577,0.5821743647500598,8.361708288575842,3.871201010907891,8.851520271691061,4.31748811353631,24946,650,Geometridae - Uraniidae,1,25.491549613615742,0.11018466455171527,0.0987941813879515,4.534032158154751,3.6474964047959713,4.490507277667952,0.24787621619139788
25,family,Eupterotidae,Brahmaeidae,-3.718184688506525,-3.6870411448402964,-0.23649731728773216,-0.4078479448099584,family,family,5.8805329864007,4.394449154672439,33,5,0.7271268091727788,0.7853981633974484,4.5217885770490405,0.6931471805599453,4.812184355372417,1.0986122886681098,358,81,Eupterotidae - Brahmaeidae,1,4.595867191492516,-0.031143543666228624,0.17135062752222624,3.713572066704307,1.4860838317282612,3.828641396489095,-0.05827135422466956
26,family,Sphingidae,Saturniidae,-3.3046822462902794,-3.1379887506954875,-0.2194685935011893,4.824883600627459e-5,family,family,7.564238475170491,7.436617265234227,332,230,0.9988665633597855,1.0042458445733398,6.927557906278317,7.7025561132685825,7.6984827878809465,8.300031711779575,1928,1697,Sphingidae - Saturniidae,1,159.860935522482,-0.16669349559479185,-0.21951684233719557,-0.601548923898628,0.12762120993626436,-0.7749982069902659,-0.005379281213554243
1,major-lineage,Syntomiini,Arctiini,NA,NA,NA,NA,tribe,tribe,6.440946540632921,7.792761720816526,11,12,NA,NA,NA,NA,NA,NA,627,2423,Syntomiini - Arctiini,-1,5.800069496026294,NA,NA,NA,1.3518151801836051,NA,NA
2,major-lineage,Liphyrini,Miletini,NA,NA,NA,NA,tribe,tribe,1.791759469228055,4.605170185988092,2,5,0.7853981633974484,0.9553166181245093,0.6931471805599453,1.791759469228055,1.0986122886681098,2.70805020110221,6,100,Liphyrini - Miletini,-1,1.6894197952218428,NA,NA,1.6094379124341003,2.813410716760037,1.0986122886681096,0.1699184547270609
3,major-lineage,Luciini,Theclini,NA,NA,NA,NA,tribe,tribe,4.812184355372417,6.877296071497429,24,41,0.2657291189694254,0.4030570744661133,4.1588830833596715,4.330733340286331,3.4657359027997265,4.2626798770413155,123,970,Luciini - Theclini,-1,17.484076958698434,NA,NA,0.7969439742415889,2.0651117161250117,0.17185025692665956,0.13732795549668786
5,major-lineage,Mesosemiini,Riodinini,NA,NA,NA,NA,tribe,tribe,5.707110264748875,6.184148890937483,1,6,NA,NA,NA,NA,NA,NA,301,485,Mesosemiini - Riodinini,-1,0.8584096955365061,NA,NA,NA,0.47703862618860793,NA,NA
7,major-lineage,Ceratocampinae,Hemileucinae,NA,NA,NA,NA,subfamily,subfamily,5.568344503761097,7.009408932708637,63,145,1.0633892396577194,0.9692912636903632,5.4680601411351315,6.467698726104354,6.2324480165505225,7.002155954403621,262,1107,Ceratocampinae - Hemileucinae,-1,55.2454366058214,NA,NA,0.7697079378530987,1.4410644289475405,0.9996385849692224,-0.09409797596735614
8,major-lineage,Epipaschiinae,Pyralinae,NA,NA,NA,NA,subfamily,subfamily,6.47543271670409,6.906754778648554,73,38,0.6024437170765957,0.6154797086703873,5.087596335232384,4.653960350157523,5.393627546352362,4.882801922586371,649,999,Epipaschiinae - Pyralinae,-1,26.65478636968064,NA,NA,-0.5108256237659914,0.43132206194446354,-0.43363598507486056,0.01303599159379154
