Genus,Name_data
ATARNES,"sallei Felder, C. & Felder, R. 1867 - Valid Name"
,
ATARNES,* angusteomarginata Mabille & Boullet 1917 - Junior subjective synonym
,
MILANION,MILANION Godman & Salvin 1895 - Valid Name
,
MILANION,alaricus Plötz 1884 - Valid Name
,
MILANION,cramba Evans 1953 - Valid Name
,
MILANION,hemes Cramer 1777 - Valid Name
,
MILANION,memba Evans 1953 - Valid Name
,
MILANION,* parvus Mabille & Boullet 1917 - Junior subjective synonym
,
MILANION,pemba Evans 1953 - Valid Name
,
MILANION,* tenuis Mabille & Boullet 1917 - Junior subjective synonym
,
MILANION,hemestinus Mabille & Boullet 1917 - Valid Name
,
MILANION,leucaspis Mabille 1878 - Valid Name
,
MILANION,marciana Godman & Salvin 1895 - Valid Name
,
MILANION,* latior Mabille & Boullet 1917 - Junior subjective synonym
,
MILANION,pilumnus Mabille & Boullet 1917 - Valid Name
,
MILANION,albidior Mabille & Boullet 1917 - Valid Name
,
MILANION,pilta Evans 1953 - Valid Name
,
ZOPYRION,ZOPYRION Godman & Salvin 1896 - Valid Name
,
ZOPYRION,evenor Godman & Salvin 1901 - Valid Name
,
ZOPYRION,* disrupta Mabille & Boullet 1917 - Junior subjective synonym
,
ZOPYRION,thania Evans 1953 - Valid Name
,
ZOPYRION,tressa Evans 1953 - Valid Name
,
ZOPYRION,reticulata Hayward 1942 - Valid Name
,
ZOPYRION,sandace Godman & Salvin 1896 - Valid Name
,
ZOPYRION,"satyrina Felder, C. & Felder, R. 1867 - Valid Name"
,
ZOPYRION,* chinoba Weeks 1906 - Junior subjective synonym
,
ZOPYRION,subvariegata Hayward 1941 - Valid Name
,
ZOPYRION,* inornata Hayward 1941 - Junior subjective synonym
,
ZOPYRION,thyas Evans 1953 - Valid Name
,
ZOPYRION,* tapola Evans  - Manuscript name
,
SYSTASEA,SYSTASEA Edwards 1877 - Valid Name
,
SYSTASEA,* LINTNERIA Edwards 1877 - Junior homonym
,
SYSTASEA,* PLESIOCERA Mabille 1891 - Junior homonym
,
SYSTASEA,microsticta Dyar 1923 - Valid Name
,
SYSTASEA,pulverulenta Felder 1869 - Valid Name
,
SYSTASEA,* filipalpis Mabille 1891 - Junior subjective synonym
,
SYSTASEA,* taeniatus Plötz 1884 - Junior subjective synonym
,
SYSTASEA,zampa Edwards 1876 - Valid Name
,
SYSTASEA,* evansi Bell 1941 - Junior subjective synonym
,
HELIOPYRGUS,HELIOPYRGUS Herrera 1957 - Valid Name
,
HELIOPYRGUS,americanus Blanchard 1852 - Valid Name
,
HELIOPYRGUS,* bellatrix Plötz 1884 - Junior subjective synonym
,
HELIOPYRGUS,domicella Erichson 1848 - Valid Name
,
HELIOPYRGUS,* aconita Plötz 1884 - Junior subjective synonym
,
HELIOPYRGUS,margarita Bell 1937 - Valid Name
,
HELIOPYRGUS,* nearchus Edwards 1882 - Junior subjective synonym
,
HELIOPYRGUS,willi Plötz 1884 - Valid Name
,
PYRGUS,PYRGUS Hübner 1819 - Valid Name
,
PYRGUS,* ATELEOMORPHA Warren 1926 - Junior subjective synonym
,
PYRGUS,* BREMERIA Tutt 1906 - Junior homonym
,
PYRGUS,* HEMITELEOMORPHA Warren 1926 - Junior subjective synonym
,
PYRGUS,* SCELOTRIX Rambur 1858 - Junior subjective synonym
,
PYRGUS,* TELEOMORPHA Warren 1926 - Junior objective synonym
,
PYRGUS,alpina Erschoff 1874 - Valid Name
,
PYRGUS,* celsimontia Alberti 1952 - Junior subjective synonym
,
PYRGUS,* mustagatae Alberti 1952 - Junior subjective synonym
,
PYRGUS,* pseudoalpina Alberti 1952 - Junior subjective synonym
,
PYRGUS,* subnurina Reverdin 1933 - Junior subjective synonym
,
PYRGUS,alveus Hübner 1802 - Valid Name
,
PYRGUS,* accreta Verity 1925 - Junior subjective synonym
,
PYRGUS,alticola Rebel 1910 - Valid Name
,
PYRGUS,ballatae Oberthür 1910 - Valid Name
,
PYRGUS,* bellieriformis Verity 1928 - Junior subjective synonym
,
PYRGUS,* bonita Agenjo 1963 - Junior subjective synonym
,
PYRGUS,* caeca Rebel & Zerny 1931 - Junior subjective synonym
,
PYRGUS,* centralhispaniae Verity 1925 - Junior subjective synonym
,
PYRGUS,centralitaliae Verity 1920 - Valid Name
,
PYRGUS,* foulquieriformis Verity 1920 - Junior subjective synonym
,
PYRGUS,* claralveus Verity 1934 - Junior subjective synonym
,
PYRGUS,* extensa Warren 1920 - Junior subjective synonym
,
PYRGUS,* funginus Schilde 1886 - Junior subjective synonym
,
PYRGUS,* grandis Verity 1925 - Junior subjective synonym
,
PYRGUS,* insigniamiscens Verity 1929 - Junior subjective synonym
,
PYRGUS,* jurassica Warren 1926 - Junior subjective synonym
,
PYRGUS,* lineolata Reverdin 1912 - Junior subjective synonym
,
PYRGUS,* lutetianus Picard 1948 - Junior subjective synonym
,
PYRGUS,* magnalveus Verity 1929 - Junior subjective synonym
,
PYRGUS,* montana Vorbrodt 1930 - Junior subjective synonym
,
PYRGUS,* necaccreta Verity 1929 - Junior subjective synonym
,
PYRGUS,numida Oberthür 1910 - Valid Name
,
